LIFESTAGE,PREMIUM_CUSTOMER,PROD_NAME,TOT_SALES
MIDAGE SINGLES/COUPLES,Premium,ThinsChipsSaltVinegar175g,603.9
MIDAGE SINGLES/COUPLES,Premium,ThinsPotatoChipsHotSpicy175g,603.9
OLDER FAMILIES,Budget,WWDStyleChipSeaSalt200g,602.3
OLDER FAMILIES,Mainstream,SmithsChipThinlyCutOriginal175g,597.0
OLDER SINGLES/COUPLES,Premium,SmithsChipThinlyCutSaltVinegr175g,597.0
OLDER FAMILIES,Mainstream,SmithsChipThinlyCutSaltVinegr175g,594.0
OLDER FAMILIES,Mainstream,ThinsChipsOriginlsaltd175g,594.0
OLDER SINGLES/COUPLES,Mainstream,NaturalChipCompnySeaSalt175g,594.0
RETIREES,Mainstream,SmithsChipThinlyCutSaltVinegr175g,588.0
MIDAGE SINGLES/COUPLES,Premium,ThinsChipsLightTangy175g,587.4
RETIREES,Mainstream,NaturalChipCompnySeaSalt175g,585.0
OLDER SINGLES/COUPLES,Mainstream,SmithsChipThinlyCutOriginal175g,579.0
OLDER FAMILIES,Mainstream,SmithsCrinkleCutChipsBarbecue170g,574.1999999999999
RETIREES,Mainstream,SmithsCrinkleCutChipsOriginal170g,571.3
YOUNG SINGLES/COUPLES,Budget,ThinsChipsSaltVinegar175g,567.6
OLDER SINGLES/COUPLES,Mainstream,FrenchFriesPotatoChips175g,567.0
YOUNG SINGLES/COUPLES,Budget,CobsPopdSourCrmChivesChips110g,566.1999999999999
YOUNG FAMILIES,Mainstream,SmithsCrinkleCutChipsChicken170g,565.5
OLDER SINGLES/COUPLES,Budget,SmithsChipThinlySCreamOnion175g,564.0
OLDER SINGLES/COUPLES,Mainstream,NaturalChipCoHonySoyChckn175g,561.0
YOUNG FAMILIES,Mainstream,SmithsCrinkleCutChipsChsOnion170g,556.8
OLDER FAMILIES,Mainstream,NaturalChipCompnySeaSalt175g,555.0
OLDER SINGLES/COUPLES,Mainstream,SmithsChipThinlySCreamOnion175g,555.0
OLDER FAMILIES,Budget,WWOriginalCornChips200g,554.8
OLDER SINGLES/COUPLES,Premium,SmithsChipThinlySCreamOnion175g,552.0
OLDER SINGLES/COUPLES,Budget,SmithsCrinkleCutChipsChicken170g,548.1
OLDER SINGLES/COUPLES,Premium,NaturalChipCoSeaSaltVinegr175g,546.0
OLDER SINGLES/COUPLES,Mainstream,SmithsCrinkleCutChipsBarbecue170g,545.1999999999999
YOUNG SINGLES/COUPLES,Premium,CobsPopdSeaSaltChips110g,543.4
OLDER SINGLES/COUPLES,Mainstream,SmithsCrinkleCutChipsOriginal170g,542.3
OLDER SINGLES/COUPLES,Budget,ThinsChipsOriginlsaltd175g,537.9
YOUNG SINGLES/COUPLES,Premium,CobsPopdSwtChlliSrCreamChips110g,535.8
YOUNG SINGLES/COUPLES,Mainstream,ThinsChipsOriginlsaltd175g,534.6
RETIREES,Mainstream,FrenchFriesPotatoChips175g,531.0
OLDER SINGLES/COUPLES,Premium,NaturalChipCoHonySoyChckn175g,528.0
YOUNG FAMILIES,Mainstream,NaturalChipCoHonySoyChckn175g,528.0
OLDER SINGLES/COUPLES,Premium,FrenchFriesPotatoChips175g,528.0
OLDER SINGLES/COUPLES,Mainstream,ThinsChipsOriginlsaltd175g,528.0
